id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,and these comments were considered in formulating the interim rules.,The rules developed in the interim were put together with these comments in mind.,en,English,0
5b72532a0b,"These are issues that we wrestle with in practice groups of law firms, she said.",Practice groups are not permitted to work on these issues.,en,English,2
3931fbe82a,Little things like these make a huge difference in what I try to do.,I was trying to do something.,fr,French,0
5622f0c60b,you know they can't really defend themselves like somebody grown uh say my age you know yeah,They can't defend themselves because of their age.,en,English,0
86aaa48b45,"In playing roles as wellThe opportunity to show and play many roles at the same time may help children catch the similarities and differences between people in their desire, beliefs and feelings.",Children can see how different ethnicity.,th,Thai,1
ed7d6a1e62,On a farm you may hear that someone says we should cut these tubs closed.,People on the farm use different terms.,tr,Turkish,0
5a0f4908a0,"Upon returning to the United States, the Hajj met at the airport through FBI agents, investigated, and met Osama bin Laden's investigation the next day before the Federal Green Jury.",Hague investigating by FBI personnel,ur,Urdu,0
fdcd1bd867,From Cockpit Country to St. Ann's Bay,From St. Ann's Bay to Cockpit Country.,en,English,2
7cfb3d272c,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",The boss will fire you if he sees you slacking off.,en,English,1
8c10229663,"Every one hundred degrees, the spots of paint change their color, it can be red and change the color to blue.",The paint changes in accordance with the color.,ru,Russian,0
a1971593d5,"We may not have had everything we wanted or saw that other people had, but it provided the necessary things we needed.",We had everything we really needed.,bg,Bulgarian,0
2bf4b86d4f,Twenty percent interest is incurred,Could the interest be more than 20?,de,German,1
91b03f6bf4,"If possible, get to know the plot in advance.","Try to understand the plot at first, if you can.",ar,Arabic,0
4c25aa4c06,I hope that your lord can finally realize that the stupid behavior of granting the king committee from such people oppose all my suggestions.,Adults have just accepted my opinion and took corresponding actions.,zh,Chinese,2
82f24422eb,Majodi claims that he went to Morocco's house to get married but could not do it due to being injured in a car accident there.,Mazaudi claimed that he went with the plan as per the plan.,hi,Hindi,2
6d63ae6397,The children would knock on the doors of their neighbors and,The kids could go to their neighbors the house.,sw,Swahili,0
dd4f0d9f25,"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it.",Many people have poisoned someone by mistake.,en,English,1
0a3f52c547,"My own little corner of the world, policy wonking, is an example.",An example is policy wonking.,en,English,0
4b0eca3ccb,life in prison then he's available for parole if it's if it's life and a day then he's not eligible for parole so what you know let's quit BSing with the system,The system is corrupt because he won't be able to get parole if it's life and a day.,en,English,1
cad235551c,"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.",Vendors have lined the streets with torches and fires.,en,English,2
d8b3a4fb06,"North of Mytilini, stop at the village of Moria, where you will find the remains of a huge Roman aqueduct surrounded by grazing goats.",There is nothing special to see in the village of Moria.,en,English,2
ad5a79456e,"Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.","Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.",en,English,0
a7b0b9498c,"It's just the beginning!""",A great journey is about to begin!,en,English,1
1ec4761d9d,"I assure you, sir that I was completely aware of everything.",Many details were hidden from me.,ru,Russian,2
